('COHR', [0.00014330688483923866, 0.031423516475109763])
('FSYS', [0.0013072162018591749, 0.048104843898934518])
('ABAX', [0.00070310663480417158, 0.042560836483356332])
('COHU', [0.00010034199243829551, 0.031341863898906093])
('LE', [0.0014403113078830659, 0.029082134185258256])
('PLBC', [0.0010157300368706008, 0.04521842844790732])
('BLPH', [0.012802815441603891, 0.12260222072786903])
('ONB', [-1.176669833984814e-05, 0.018020454778585944])
('IRIX', [0.0012432366903857941, 0.048747149010282896])
('TKMR', [0.0007978211397068381, 0.055946882993251616])
('PGNX', [0.0015044994521852713, 0.064530571816881252])
('PTSI', [0.0011509147275240179, 0.062956073724376338])
('LTXB', [-0.000352183259633425, 0.019152052813837514])
('MNDO', [0.0005955269126978049, 0.039654492444439478])
('ONP', [0.004344078502712798, 0.10260597025158742])
('IIN', [0.00052081755353819035, 0.036629068783971361])
('III', [0.00070080133501339422, 0.030893976339783167])
('CFBK', [0.0019129200140010243, 0.047426372622281013])
('CNTF', [0.0020192315292409131, 0.043242032912036363])
('FORM', [0.00075942858527420782, 0.030622900036419969])
('NTWK', [0.0034035074488752101, 0.070726330992580799])
('KEYW', [0.00078562869570320991, 0.032092590309491777])
('STNR', [-5.7610377225236459e-05, 0.02940576912445236])
('FORD', [0.0022300842910505502, 0.06158516376749399])
('RDHL', [0.0003617761397739034, 0.039831413471673419])
('NVGN', [0.0028675872948252632, 0.070838901179574587])
('BLBD', [-0.00081694380794832509, 0.012805652659737803])
('ANTH', [0.0033624368664081209, 0.082932043264456329])
('FRGI', [-0.0016041163681504186, 0.023110078645461159])
('FORR', [0.00024422200747561181, 0.031665394364883172])
('SFNC', [-0.00017784702654361956, 0.023595659842692327])
('CNTY', [0.00089977845486796518, 0.044365354443604288])
('DTUS', [0.00047560452418162001, 0.014419653280561854])
('CFO', [-0.00027505817117885051, 0.0072970006351782716])
('XENE', [0.0017589188623346103, 0.050255661707986184])
('HMIN', [0.00057023181785174036, 0.035585848602952504])
('BIND', [0.0031786274424577877, 0.042781149587313196])
('CFD', [0.00039750702051192702, 0.011868711412622534])
('OLBK', [-3.5758900614676625e-05, 0.021861293383365909])
('CFA', [-0.00026479606791355361, 0.0078875345131892358])
('CALI', [0.0044621977502165141, 0.065545522431248823])
('MRLN', [0.00064497274457776669, 0.038601594417155834])
('CALL', [0.0030164389930248153, 0.064732421430831438])
('CALM', [-0.0003491850527117144, 0.030337239340423181])
('SYBT', [-0.000340961937683641, 0.021183731470647903])
('CALA', [0.0040291873282098222, 0.074160673755583814])
('RUTH', [0.00083756321771329145, 0.03988853853641823])
('CALD', [0.0006473512356676281, 0.036156224711847026])
('UACL', [0.0004982808355987802, 0.033855398308422713])
('CFP', [0.00021235473847652436, 0.020928593104110813])
('FIZZ', [-7.5326396506943561e-05, 0.029653194991927003])
('ESCA', [0.00027079826622404833, 0.040942862554407149])
('UTEK', [0.00051618907960533547, 0.035021474829668942])
('CBOE', [-0.00044556367706215932, 0.015645757278305396])
('BRG', [0.00019201639811118601, 0.0182720233574502])
('RELY', [-0.0042520261929479362, 0.030118181172890866])
('MSBF', [0.0003198919377740523, 0.027073259604658468])
('GIII', [0.0007473147898530558, 0.046970503123561984])
('TRUE', [0.0027186115287918208, 0.053103070244379984])
('COVR', [0.0025559630839926792, 0.066167501362783945])
('MCBK', [-0.0003194275516286154, 0.015175365974265864])
('RCPI', [0.0035011251679860425, 0.085066598048099976])
('ASTI', [0.0043029907556115981, 0.061720058745399806])
('ESXB', [0.00055636288432332466, 0.029752641648455626])
('QINC', [-0.00029397423121148926, 0.0059897307028861629])
('ASTC', [0.0027217661856479922, 0.062204511418493424])
('ASTE', [0.00026183670980932009, 0.035335388271119941])
('PRK', [-0.00017860478865358939, 0.021474977805431755])
('JOB', [0.0014008148162923657, 0.054384699803061903])
('PRQR', [0.00040301443238867097, 0.039868330948588875])
('MBRG', [-3.5448905794901199e-05, 0.020092660711310852])
('RXDX', [0.0022330846686710575, 0.0515528705523155])
('RELL', [0.00057256865293797633, 0.034193993161991829])
('HYLS', [-0.0002100729353150227, 0.0035047156559857556])
('RCPT', [-0.0039815991486936708, 0.043157960347578579])
('ZIV', [-0.0010100213505864792, 0.018706063129349353])
('UTIW', [0.00025129849580796842, 0.027268007267095256])
('CHFN', [0.00041830080146121616, 0.02962182087573605])
('CHFC', [1.3991235775279033e-05, 0.02628005984771566])
('CHI', [-0.0002044320162658582, 0.015273558531125782])
('ESND', [-0.00020101677349367871, 0.025034026411398083])
('MERU', [0.0029063374729999076, 0.046058365965913374])
('ASBB', [-0.00060409206499576699, 0.013772416752385648])
('MAR', [-0.00027781542695950995, 0.021069585095474783])
('DAKT', [0.00024511017376001055, 0.038527535846459814])
('CHW', [7.7847818485536713e-05, 0.018640668640476539])
('SIXD', [0.012954548698411623, 0.18784357840525112])
('CHY', [-0.00018126271062541047, 0.014238408721569682])
('FELE', [-0.0002526205474672438, 0.024230897763922801])
('ASBI', [9.2276516211658823e-05, 0.030400159179791584])
('NNBR', [0.00036332399145720359, 0.036813607117353125])
('SNC', [0.00073587631620045742, 0.0211409303434111])
('AMRN', [0.0035833248537633731, 0.088194193440663052])
('SNAK', [0.00076366868945282947, 0.043396885759157018])
('BWINA', [1.2389258982488518e-05, 0.026201931846833421])
('AMRI', [0.00055331906282151907, 0.037579053551943437])
('AMRK', [0.00085305493729751099, 0.020020993031784392])
('PESI', [0.001171480237329356, 0.04350156472403293])
('APP', [0.0029989923247639326, 0.055987328788665087])
('AMCX', [-0.0006630712115327336, 0.018443131644142539])
('BRKL', [-5.6069054491228513e-05, 0.019378875290505745])
('AMRB', [0.00011147901752077598, 0.023293925776647299])
('BRKS', [0.00077656379671809967, 0.040382039466596721])
('BRKR', [0.00089130083530778467, 0.042239421538999532])
('SUPN', [-0.00071146059731821715, 0.041466012243029711])
('NWBO', [0.0079782714217444296, 0.11651396808682216])
('ORBC', [0.00087807667242235617, 0.039968305459969301])
('MTRX', [0.000664998302665386, 0.039320498021166314])
('AMRS', [0.0030233691058078093, 0.047416993704095141])
('GULTU', [0.006658649679635204, 0.038285598878209634])
('GBR', [0.0029318909019553307, 0.065577835630479475])
('DXPE', [0.0012739337290514898, 0.060146688548280251])
('VA', [-3.7608899080688767e-05, 0.033354253535989198])
('ISL', [-0.00014807623339459331, 0.017568174428411739])
('CHSCP', [-0.00030340291114753555, 0.0073901166254147117])
('WSCI', [0.001522541493254595, 0.055407085217700623])
('CHSCL', [-0.00077986381112752777, 0.0053432773172017297])
('CHSCM', [-0.00042485717693125947, 0.0049799656982677945])
('CHSCN', [-0.00039755725968016598, 0.0060081909822492386])
('CHSCO', [-0.00041831337424592431, 0.0064304821360777363])
('NCOM', [-0.0022264862641870158, 0.016076148344976726])
('ADNC', [0.0033424234596846408, 0.072035813695590062])
('PFNX', [-0.0045138747869410559, 0.040680892852185908])
('EWBC', [-0.00014640458406884753, 0.02955188579049298])
('GASS', [0.00076264643686589889, 0.031409609674835914])
('USMD', [0.0030865730457316398, 0.063479326055452631])
('SNCR', [9.3676850789980322e-06, 0.039665600928880621])
('MNRO', [-0.00013443464166578841, 0.025782119180652568])
('AVGO', [-0.0011594299168275902, 0.022250117025547678])
('RLYP', [-0.0014883560363915345, 0.041614991743977557])
('AMS', [0.0017653605934262637, 0.065127687730898429])
('PNFP', [-0.00022844031318268912, 0.029107076433299461])
('WMAR', [0.00052088187182900726, 0.033890039362009225])
('UCTT', [0.00081834914864922716, 0.040591727905073635])
('EMKR', [0.0018575073489385642, 0.055989909091471467])
('OBAS', [0.0012429624776244415, 0.041191765796538569])
('LPLA', [-0.00029432025429239702, 0.016212170844195874])
('TCFC', [0.00074018131974330304, 0.044763490653686816])
('HSKA', [0.0018685587384372241, 0.05827764151270623])
('RPRX', [0.0017892900741919376, 0.058420496399635813])
('AVGR', [-0.0010329200286167692, 0.033051845064082708])
('RICK', [0.0012824585167243894, 0.051404437509060243])
('AAME', [0.0015280897735986071, 0.054947900743994707])
('PAYX', [-0.00050470979030144874, 0.022358923841843327])
('CSOD', [-0.00019462193757272569, 0.027756269620999929])
('AFH', [-0.0015852868562311775, 0.021634283396207047])
('GSV', [0.0034216955369753329, 0.045323817681949374])
('BOBE', [-8.8496040135190582e-05, 0.021159053391874624])
('ORLY', [-0.00057417675179690243, 0.02215968120483492])
('CRESY', [0.00037515060495149058, 0.027536411073688288])
('TRTLU', [-0.00010033446204400235, 0.0031448548643725309])
('AXDX', [0.0015454387140141131, 0.0599427290989114])
('HWAY', [0.00026997587315202609, 0.037023285982541634])
('SUBK', [-0.00018857705941812176, 0.025177040524491621])
('XNCR', [-0.0018421026560607391, 0.032021458282186173])
('SSY', [0.0016697203692920314, 0.055171246309943509])
('PLG', [0.0015513292673254232, 0.043851676337043288])
('VKI', [-0.00020168921637529823, 0.010463658399597498])
('JOEZ', [0.0046249462017635534, 0.081590911884044923])
('CBAN', [0.00056289680462276871, 0.034103711944391969])
('AST', [0.00078168690455566819, 0.079519992594080463])
('SAAS', [0.0001679470458371913, 0.036090432100282566])
('BTX', [0.0017013745661291369, 0.057396212015599898])
('CBAK', [0.0024182774684090814, 0.055076242878519165])
('BTG', [0.0010976293679863171, 0.043384281936577153])
('PLX', [0.0093141974642210953, 0.18709103683583703])
('SSH', [0.0031215777234345305, 0.054602575430867231])
('LARK', [-0.00020485139833149188, 0.021079707189076844])
('RVLT', [0.0018267966401878683, 0.055369056419650738])
('BTN', [0.00012629537013511246, 0.040364233433145338])
('BTI', [-0.00046407501094212079, 0.020042073406577373])
('CBAY', [0.0044368628769973321, 0.05585044588353702])
('CREG', [0.0044823426714198228, 0.088871679206031839])
('MFNC', [0.0016828200510443823, 0.041628897827423947])
('USEG', [0.0016451142480132894, 0.047684231969958253])
('DYNT', [0.0018487734362296804, 0.05632270774452984])
('SNDK', [0.00046989191983708498, 0.045187110288380593])
('TACO', [-0.0012041381612359662, 0.013667345822182089])
('EVJ', [-0.00014074803349879491, 0.01090955766622087])
('WYY', [0.0042537090771825759, 0.088934474317012888])
('VGSH', [-3.5368385074273125e-05, 0.00064249869270138055])
('MBFIP', [-0.0003360606162109185, 0.002880993875723009])
('APIC', [0.011567308498240106, 0.039541784578478463])
('STRP', [-0.0020823696705772176, 0.035360540542694184])
('PGTI', [0.00079489800965872135, 0.040525324223184125])
('EVM', [-0.00010223207248710831, 0.011508767916240323])
('CNET', [0.0032547322989690819, 0.067332331337001838])
('ECF', [-0.00025364611311982281, 0.012621840982421995])
('LAND', [0.00056872601328511474, 0.017945926088561874])
('LANC', [-0.00037523031298225805, 0.018421953466633532])
('LTBR', [0.0025743575593686111, 0.062187895839137641])
('ONCS', [0.0035891822083929481, 0.065154651110032977])
('IPHS', [-0.00033803773380094716, 0.030036588593521436])
('ALQA', [0.0047729664753048736, 0.10118211829401647])
('BWL/A', [-0.00032894002523064841, 0.020013691550124234])
('EXPO', [0.00019490515180357719, 0.034633048240066883])
('LGND', [0.0007533691314473847, 0.042389522447537999])
('EMCB', [-0.00010199198006158258, 0.0044465015594842023])
('LNG', [0.0018241154826721256, 0.064341120944616609])
('EXPE', [-6.4962206418750398e-05, 0.030518343412321083])
('DGII', [0.00052129253041268114, 0.037442468299763318])
('TRIL', [-0.00063855212901480526, 0.052844828443727704])
('ETFC', [0.001137311578516001, 0.049660298361609304])
('CRWS', [5.1567957201017311e-05, 0.043297207470339681])
('GSVC', [0.00087681939662707855, 0.031909382310222556])
('BBC', [-0.0017328263770111333, 0.02128890045946694])
('TRIB', [0.00060121029840391326, 0.037997294014845626])
('FPXI', [0.00012104067769819451, 0.0084948406529802289])
('CRWN', [0.0011963097326105775, 0.042297978996900402])
('SYNC', [0.0023504667606394276, 0.047196747630413267])
('SHIP', [0.0042175523607615025, 0.054713491538923402])
('TRIV', [0.0031833572551297515, 0.040033798604343848])
('BSQR', [0.0019943848549971244, 0.051460451700090316])
('RELV', [0.0014239185516818271, 0.049946000034536586])
('BBP', [-0.0019738995779729146, 0.015632864667967695])
('VMM', [-0.00020192376308834188, 0.0089794598779719455])
('SPAN', [0.0002659037733677815, 0.036271884290709058])
('SOCB', [0.00024566661722254924, 0.032383541630221814])
('IKNX', [0.00030652543980600632, 0.036921886026312391])
('EVY', [-0.00015569456820850643, 0.011821353093785578])
('RMGN', [0.0054173445666796313, 0.096825544137172342])
('CPGI', [0.0020988314748442575, 0.049022046525595345])
('SOCL', [-0.00015641666504200786, 0.015295651868371167])
('DNKN', [-0.00060691787023507237, 0.01514848196900195])
('HOVNP', [0.0017791269938587358, 0.055061000552829295])
('NHLD', [0.0052452929636460383, 0.10382313142647855])
('SPAR', [0.00041000007615911823, 0.038128510710021921])
('ALCO', [0.00023480734052718928, 0.037948079075411617])
('VGIT', [-0.00013539163691489071, 0.0026971734616984436])
('WYNN', [-0.00031984382000853264, 0.030797740590893432])
('AGRX', [-0.00079712252620845543, 0.040898959750983906])
('STMP', [0.00048384554960098034, 0.0398415303357013])
('ANSS', [-0.00029543273935803566, 0.029362572916489294])
('NBIX', [0.00077315466831168341, 0.049627212271918672])
('KRNT', [-5.587335552511148e-06, 0.030082565254837133])
('STML', [0.0011790236513758751, 0.044999613709141503])
('KRNY', [7.7812828743262715e-05, 0.021931231244181587])
('RDIB', [0.00050269834126550293, 0.043841744914846818])
('NKSH', [-0.00018911965387619892, 0.020656824121912255])
('BLCM', [0.0020310063659191675, 0.044904723937247405])
('HMHC', [-0.001039771043876943, 0.015672129227014334])
('MMYT', [0.0010640594954648478, 0.034554710342815952])
('BIIB', [-1.3004704493747818e-05, 0.039298906776654069])
('CAMP', [0.0019941427812761505, 0.066711836735532881])
('MRKT', [0.00010606064620145213, 0.013800244670250357])
('BKMU', [-0.00012515855169433599, 0.020699351359006884])
('PHIIK', [0.00030476358305206696, 0.031755470957960406])
('HOTRW', [0.0064503455858538443, 0.11173389566222248])
('IMH', [0.0018051870300638132, 0.06238737471360857])
('CAMB', [4.5619618958435915e-05, 0.0080492998140910162])
('BLJ', [-0.00015360040554063045, 0.013078863511589454])
('CCCR', [0.0062338073895701791, 0.060524285940656786])
('TBRA', [0.0059143581863744642, 0.10658650743554493])
('OSTK', [0.00076023021400725178, 0.043128787584826266])
('VCF', [-0.00019023994564640908, 0.009887537117777765])
('OMCL', [0.00031843271792128091, 0.040322848986373498])
('SPWH', [-0.00016265597481408977, 0.028219753730921476])
('VASC', [0.00060398617727080116, 0.04396087110945418])
('SKIS', [0.0011444888977989222, 0.019768995710146779])
('SMED', [0.0028875436690689264, 0.082764547940313252])
('LENS', [0.0022805355831667486, 0.047887979294372468])
('TSEM', [0.0014300247186685693, 0.042735765173108314])
('SPWR', [0.0010245448274207047, 0.046055957260589128])
('IMO', [-0.00032634414250475068, 0.016924232779649554])
('FWRD', [-0.00010899311402074424, 0.030877587293045319])
('EHTH', [0.00088186150975142765, 0.042153052814381288])
('BLE', [-0.00018124664020798459, 0.01178674045529312])
('CCCL', [0.0016412577698192857, 0.03385777141099857])
('CFRX', [0.0016619635273607551, 0.052248913761303549])
('AIRI', [0.0095296737273736758, 0.14418801436360387])
('TANH', [-0.0099347943976667123, 0.069551232555188428])
('AIRM', [0.00084481267991858922, 0.045241659442776472])
('GLYC', [0.0011997774213138126, 0.039335049733958176])
('AIRR', [0.0004061410274538647, 0.012100881227428957])
('MRVL', [0.00072936544242500098, 0.03796890007206645])
('AIRT', [0.0016946182597772526, 0.075155744113703266])
('WIBC', [-8.1540612279110925e-05, 0.029890093027009054])
('MOCO', [9.6337434537474196e-05, 0.02928612581886357])
('TGEN', [0.0037099125944973529, 0.062728848645863963])
('NICE', [5.8352321535855646e-05, 0.038058594548191868])
('CHEV', [0.00017672091661894633, 0.024000733640874263])
('SKUL', [0.0015146892478055582, 0.032739723749156208])
('NPBC', [0.00019433073714454624, 0.028233892275172763])
('AAPC', [-0.00011614052723228139, 0.0064685917609523273])
('ENTG', [0.00064973789707015942, 0.038183685477136714])
('SRCE', [7.3803890027612589e-05, 0.027388123994625795])
('HIFS', [-0.00042030986794451395, 0.022750798687816591])
('AAPL', [-0.00017327343487905908, 0.031610657970200171])
('ZAGG', [0.00010615510969123262, 0.047389428424151031])
('ENTL', [0.00019615944649961964, 0.027314994232050742])
('SRCL', [-0.00056330874205621714, 0.024381129823244783])
